Item,Price,Link
RP2040 Pro Micro,$0,aliexpress.com
Hotswap Sockets,$0,aliexpress.com
PCB,$3,jlcpcb.com
Keyswitches (Gateron Milky Yellow Pro),$8,aliexpress.com
Keycaps (Blank XDA 1u),$5,aliexpress.com
Diodes,$2,aliexpress.com
Total,$18
